claim_id,citation_key,doi,status,manuscript_section,exact_claim_supported
C-002,kallenberg_foundations,,unverified,SI theorem package,"Existence of a regular conditional distribution when Theta is valued in a Borel/Polish space (Foundations of Modern Probability, 2nd ed., Thm 6.3). Used as Assumption 4 of T-001."
C-002,durrett_pte,,unverified,SI theorem package,"Same regular-conditional-distribution result (Probability: Theory and Examples, 5th ed., Sec 4.1.3). Alternative source for T-001 Assumption 4."
C-004,white_misspecified_mle,,unverified,SI theorem package,"Consistency and asymptotic normality of maximum likelihood under misspecification; used for D_n/n -> Delta-ell-star in T-007b."
C-004,vuong_nonnested,,unverified,SI theorem package,"Limiting distribution of the log-likelihood-ratio statistic for non-nested misspecified models; source of the omega^2 variance in T-007b and T-005c."
C-004,takeuchi_tic,,unverified,SI theorem package,"Misspecification-robust bias correction 2 tr(J^-1 V) replacing AIC's 2k; cited in T-007c."
C-004,kleijn_vandervaart_misspecified_bvm,,unverified,SI theorem package,"Bernstein-von Mises under misspecification; posterior concentration at the pseudo-true parameter. Regularity condition R2 of T-005."
C-004,watanabe_singular_learning,,unverified,SI theorem package,"Singular learning theory: free-energy expansion with the real log canonical threshold lambda <= k/2 replacing k/2, invalidating BIC for singular models. Basis of T-007c and the T-006 deferral."
C-004,watanabe_waic,,unverified,SI theorem package,"WAIC is asymptotically equivalent to the Bayes generalization error for singular models, unlike AIC/BIC. Justifies making PSIS-LOO/WAIC primary under D-004."
C-004,watanabe_wbic,,unverified,SI theorem package,"WBIC at inverse temperature 1/log n as a singularity-valid substitute for BIC; required cross-check under D-003 condition 4."
C-004,chernoff_boundary,,unverified,SI theorem package,"Limiting distribution of the likelihood-ratio statistic when the true parameter lies on the boundary; part of the no-significance-reading rule in T-007c."
C-004,self_liang_boundary,,unverified,SI theorem package,"Chi-squared mixture null distributions for boundary parameters in mixture and variance-component models; T-007c."
C-004,vehtari_gelman_gabry_psis_loo,,unverified,SI theorem package,"PSIS-LOO estimator, p_loo, and the Pareto k-hat < 0.7 diagnostic. Regularity condition R4 of T-005."
C-004,sivula_magnusson_vehtari_nested_se,,unverified,SI theorem package,"The standard error of an elpd difference is anticonservative for nested models; hazard 2 in T-005 section 5."
C-004,meng_wong_bridge,,unverified,SI theorem package,"Iterative bridge-sampling estimator for marginal likelihoods; the estimator declared in D-003 condition 3."
